order_item_id;order_id;product_id;quantity;price_at_purchase
1398;5851;1;1;225.37
7;10944;1;1;54.83
1075;2013;2;1;187.75
5877;2831;2;4;861.00
14880;4851;2;10;112.54
3615;9505;2;3;529.45
5242;10724;2;4;728.37
5663;13546;2;4;366.29
10155;14573;2;7;769.74
6393;1218;3;5;300.95
5138;5783;3;4;210.70
19669;5783;3;4;31.04
11799;9155;3;8;434.57
3263;9787;3;3;697.43
12436;9795;3;9;425.69
8853;10120;3;6;579.21
8386;12600;3;6;105.95
2456;13037;3;2;274.79
1420;13375;3;1;473.46
12292;285;4;9;790.12
6776;2177;4;5;668.33
19950;2551;4;4;32.95
8350;2551;4;6;496.08
4652;5479;4;4;829.46
12596;6746;4;9;113.59
6684;7264;4;5;649.95
13622;9092;4;10;614.67
15109;10264;4;1;0.71
7794;10264;4;6;304.77
928;11106;4;1;873.16
11575;13235;4;8;634.03
14732;13716;4;10;37.21
2596;651;5;2;279.63
12731;2563;5;9;750.70
8498;3255;5;6;384.20
10281;8685;5;7;324.41
1247;11262;5;1;901.47
6671;12231;5;5;848.13
18054;14502;5;3;20.18
191;14502;5;1;548.83
6996;5026;6;5;462.49
298;5466;6;1;491.31
365;10745;6;1;829.15
2029;12241;6;2;654.05
4271;13381;6;3;444.20
11775;13469;6;8;862.96
6334;58;7;5;754.40
19876;229;7;4;32.47
2394;229;7;2;379.74
12513;6224;7;9;234.38
13990;8645;7;10;566.59
19493;8680;7;3;29.86
4200;8680;7;3;301.06
8473;8891;7;6;221.58
2955;14975;7;3;116.20
1626;104;8;2;824.20
10638;515;8;8;421.47
3160;5486;8;3;588.41
2642;6496;8;2;577.18
18859;10665;8;3;25.60
10429;10665;8;7;859.70
6255;10811;8;5;322.28
4328;13016;8;3;41.03
926;132;9;1;891.77
4062;5862;9;3;49.61
17248;6307;9;2;14.94
9897;6307;9;7;354.75
8315;8225;9;6;731.00
11182;10115;9;8;197.08
2664;12132;9;2;590.53
2210;13597;9;2;339.61
7805;13642;9;6;489.26
5403;1347;10;4;175.39
3467;1447;10;3;483.87
5170;5430;10;4;629.53
3726;7259;10;3;239.48
17838;1037;11;2;18.82
4783;1037;11;4;766.20
8445;1700;11;6;536.75
9093;5991;11;7;253.37
18046;6326;11;3;20.14
9002;6326;11;7;651.28
11153;10555;11;8;207.84
13518;13210;11;10;236.54
4210;540;12;3;430.83
9454;878;12;7;320.02
6370;9071;12;5;219.38
2367;11244;12;2;104.50
19926;11244;12;4;32.76
9592;11254;12;7;769.62
